Date,T,V,P,F
1/1/1920,32,2.11,12.58,849
2/1/1920,36.43,3.94,3.63,562
3/1/1920,40.82,4.93,4.47,960
4/1/1920,43.38,6.6,0.86,743
5/1/1920,47.98,6.91,2.26,831
6/1/1920,58.51,12.37,0.57,456
7/1/1920,64.55,17.86,0,177
8/1/1920,62.15,16.63,0,108
9/1/1920,55.38,12.63,0.16,87.4
10/1/1920,43.94,6.25,3.54,81.5
11/1/1920,38.1,3.56,12.72,549
12/1/1920,32.17,2.29,10.51,549
1/1/1921,32,2.11,12.58,849
2/1/1921,36.43,3.94,3.63,562
3/1/1921,40.82,4.93,4.47,960
4/1/1921,43.38,6.6,0.86,743
5/1/1921,47.98,6.91,2.26,831
6/1/1921,58.51,12.37,0.57,456
7/1/1921,64.55,17.86,0,177
8/1/1921,62.15,16.63,0,108
9/1/1921,55.38,12.63,0.16,87.4
10/1/1921,50.71,9.68,1.17,81.2
11/1/1921,42.73,6.43,2.67,100
12/1/1921,36.41,3.43,10.19,194
1/1/1922,32,2.78,2.97,192
2/1/1922,32,2.08,14.37,422
3/1/1922,32.87,3.04,6.32,433
4/1/1922,39.5,5.52,1.02,933
5/1/1922,51.1,9.34,2.28,1570
6/1/1922,59.1,13.15,0.61,721
7/1/1922,66.31,19.11,0.06,210
8/1/1922,60.42,14.86,0.04,119
9/1/1922,60.63,16.18,0.01,89.4
10/1/1922,48.02,7.85,2.76,95.2
11/1/1922,37.82,4.64,5.38,129
12/1/1922,34.1,2.5,11.39,347
1/1/1923,32,2.72,5.19,309
2/1/1923,34.22,4.32,1.76,206
3/1/1923,40.63,6.13,0.53,362
4/1/1923,42.06,5.1,4.99,651
5/1/1923,50.22,8.6,0.83,482
6/1/1923,52.27,8.31,2.1,230
7/1/1923,62.95,16.33,0.23,125
8/1/1923,62.18,16.24,0.6,84.7
9/1/1923,58.63,13.17,2.49,75
10/1/1923,47.86,7.68,1.55,83.6
11/1/1923,44.63,6.82,0.86,78.7
12/1/1923,33.86,3.55,2.26,91.7
1/1/1924,32,3.82,3.04,107
2/1/1924,41,5.25,5.19,298
3/1/1924,36.19,4.11,2.5,122
4/1/1924,46.37,8.08,0.84,168
5/1/1924,56.4,12.97,0.05,101
6/1/1924,58.58,14.12,0.14,63.9
7/1/1924,64.1,18.22,0,62.7
8/1/1924,61.62,17.14,0.16,63.1
9/1/1924,58.34,15.2,0.34,55.6
10/1/1924,45.25,6.48,5.22,77.6
11/1/1924,40.07,5.04,3.66,137
12/1/1924,32,2.93,5.97,140
1/1/1925,33.3,2.99,2.36,155
2/1/1925,37.17,3.31,11.89,754
3/1/1925,40.56,5.62,3.42,378
4/1/1925,44.66,5.92,3.93,534
5/1/1925,50.54,7.71,2.02,422
6/1/1925,57.89,12.11,1.46,192
7/1/1925,65.84,17.65,0.23,113
8/1/1925,60.88,14.89,0.86,92.8
9/1/1925,51.61,9.47,2.29,80.3
10/1/1925,46.98,8.12,1.79,89.3
11/1/1925,38.67,4.44,3.73,115
12/1/1925,37.59,4.24,2.53,139
1/1/1926,33.35,3.64,6.01,156
2/1/1926,36.44,3.23,10.64,619
3/1/1926,45.13,7.62,0.4,408
4/1/1926,48.89,7.12,7.79,862
5/1/1926,50.97,8.95,2,324
6/1/1926,62.75,17.35,0.01,139
7/1/1926,65.82,19.16,0.12,94.4
8/1/1926,62.23,17.97,0.15,78.1
9/1/1926,54,12.73,0.05,74
10/1/1926,50.29,9.36,2.43,80.6
11/1/1926,43.56,5.03,15.14,448
12/1/1926,32,2.59,2.01,299
1/1/1927,32.66,2.66,6.6,369
2/1/1927,33.8,1.96,13.91,1270
3/1/1927,37.46,4.27,4.08,782
